empirical_peak_idx,theoretical_peak_idx,flow,25C_15N,25C_1H,30C_15N,30C_1H
235,198,0.0004137472249567508,114.71199999999999,9.1896,114.71199999999999,9.20917
239,207,0.0003300338052213192,114.779,9.15046,114.84700000000001,9.1896
240,202,7.082456722855568e-05,114.779,9.17003,114.779,9.1896
240,203,0.0006593439728021621,114.779,9.17003,114.779,9.20917
240,208,0.00042060613632202145,114.779,9.17003,114.84700000000001,9.20917
241,202,0.0005027585662901402,114.779,9.1896,114.779,9.1896
246,212,0.0003264041617512703,114.84700000000001,9.15046,114.914,9.1896
247,207,0.0005798055790364742,114.84700000000001,9.17003,114.84700000000001,9.1896
247,208,0.00010856911540031433,114.84700000000001,9.17003,114.84700000000001,9.20917
247,213,0.0004524772055447101,114.84700000000001,9.17003,114.914,9.20917
248,208,0.0005048333667218685,114.84700000000001,9.1896,114.84700000000001,9.20917
255,212,7.144678384065628e-05,114.914,9.15046,114.914,9.1896
255,217,0.00022792406380176542,114.914,9.15046,114.982,9.1896
256,213,0.000541662611067295,114.914,9.17003,114.914,9.20917
256,218,0.0005033126100897788,114.914,9.17003,114.982,9.20917
257,212,0.0004688453860580921,114.914,9.1896,114.914,9.1896
263,217,0.0002537020482122898,114.982,9.15046,114.982,9.1896
264,217,0.00025241374969482423,114.982,9.17003,114.982,9.1896
264,224,0.0006291177123785019,114.982,9.17003,115.049,9.20917
265,217,2.626553177833557e-05,114.982,9.1896,114.982,9.1896
265,218,0.0003755134530365467,114.982,9.1896,114.982,9.20917
269,223,0.00037554726004600524,115.049,9.17003,115.049,9.1896
269,229,0.0003035609610378742,115.049,9.17003,115.11700000000002,9.20917
270,223,0.00023460024967789648,115.049,9.1896,115.049,9.1896
270,224,8.12075100839138e-05,115.049,9.1896,115.049,9.20917
274,228,0.00044259103015065193,115.11700000000002,9.17003,115.11700000000002,9.1896
274,229,2.767536789178848e-05,115.11700000000002,9.17003,115.11700000000002,9.20917
278,233,0.00028251986950635907,115.184,9.17003,115.184,9.1896
278,234,1.8926337361335753e-06,115.184,9.17003,115.184,9.20917
250,209,0.0002492319792509079,114.914,7.21322,114.914,7.25236
250,214,9.953929111361504e-05,114.914,7.21322,114.982,7.25236
259,214,0.0003960960544645786,114.982,7.21322,114.982,7.25236
259,219,0.00017800396308302878,114.982,7.21322,115.049,7.25236
267,219,0.0006080654449760913,115.049,7.21322,115.049,7.25236
267,225,0.00020452206954360008,115.049,7.21322,115.11700000000002,7.25236
272,225,0.0008780010044574737,115.11700000000002,7.21322,115.11700000000002,7.25236
272,230,0.0001505065709352493,115.11700000000002,7.21322,115.184,7.25236
276,230,0.001187459472566843,115.184,7.21322,115.184,7.25236
277,231,0.00031564710661768913,115.184,7.27193,115.184,7.27193
280,230,1.3844110071659088e-06,115.251,7.21322,115.184,7.25236
280,235,0.0002403896301984787,115.251,7.21322,115.251,7.23279
280,236,0.001020196359604597,115.251,7.21322,115.251,7.25236
281,220,0.00025238692760467526,115.251,7.25236,115.049,7.27193
281,226,7.958672940731048e-05,115.251,7.25236,115.11700000000002,7.27193
282,237,0.0005043525248765946,115.251,7.27193,115.251,7.27193
284,236,0.0004935239441692828,115.319,7.21322,115.251,7.25236
284,239,0.000259139109402895,115.319,7.21322,115.319,7.23279
284,240,0.0004871967248618603,115.319,7.21322,115.319,7.25236
285,226,0.0002982876263558864,115.319,7.25236,115.11700000000002,7.27193
285,231,6.799511611461639e-05,115.319,7.25236,115.184,7.27193
285,240,8.53540375828743e-05,115.319,7.25236,115.319,7.25236
286,231,0.0001093282364308834,115.319,7.27193,115.184,7.27193
286,237,7.52599909901619e-05,115.319,7.27193,115.251,7.27193
286,241,0.0005159653723239898,115.319,7.27193,115.319,7.27193
288,240,0.0010031810961663723,115.386,7.21322,115.319,7.25236
288,245,0.00012337490916252135,115.386,7.21322,115.386,7.23279
